date,draw,n1,n2,n3,n4,fb
06/17/26,MID,3,7,5,3,1
06/16/26,EVE,6,4,3,4,7
06/16/26,MID,1,7,7,6,2
06/15/26,EVE,2,7,4,6,4
06/15/26,MID,2,6,4,2,6
06/14/26,EVE,5,9,1,4,4
06/14/26,MID,9,8,6,2,6
06/13/26,EVE,9,6,3,5,6
06/13/26,MID,3,0,1,0,3
06/12/26,EVE,7,9,2,1,3
06/12/26,MID,5,1,2,2,8
06/11/26,EVE,2,9,3,5,2
06/11/26,MID,0,0,8,9,2
06/10/26,EVE,3,1,3,5,0
06/10/26,MID,5,8,5,8,9
06/09/26,EVE,8,3,3,1,0
06/09/26,MID,1,2,9,2,2
06/08/26,EVE,3,1,3,2,8
06/08/26,MID,5,8,2,9,9
06/02/26,EVE,9,2,5,8,4
06/02/26,MID,8,1,1,7,6
06/01/26,EVE,2,7,5,7,2
06/01/26,MID,4,8,7,0,6
05/31/26,EVE,7,9,2,2,9
05/31/26,MID,5,6,1,8,2
05/30/26,EVE,9,5,0,2,2
05/30/26,MID,7,9,1,1,7
05/29/26,EVE,0,0,1,4,2
05/29/26,MID,5,7,6,0,1
05/28/26,EVE,4,6,7,0,1
05/28/26,MID,4,9,3,2,2
05/27/26,EVE,0,6,3,1,6
05/27/26,MID,2,0,2,2,5
05/26/26,EVE,3,6,0,0,4
05/26/26,MID,6,9,5,4,6
05/25/26,EVE,5,6,5,2,3
05/25/26,MID,0,5,3,6,0
05/24/26,EVE,4,5,3,6,8
05/24/26,MID,5,2,4,8,4
05/23/26,EVE,2,5,0,8,0
05/23/26,MID,9,7,5,6,4
05/22/26,EVE,1,8,7,9,7
05/22/26,MID,3,6,4,9,1
05/21/26,EVE,9,5,3,8,7
05/21/26,MID,3,2,9,3,7
05/20/26,EVE,2,9,6,0,8
05/20/26,MID,8,7,4,5,8
05/19/26,EVE,8,0,4,4,8
05/19/26,MID,9,1,6,1,5
05/18/26,EVE,0,7,4,8,5
05/18/26,MID,6,1,1,3,5
05/17/26,EVE,7,9,7,4,6
05/17/26,MID,9,9,9,1,2
05/16/26,EVE,2,3,9,6,8
05/16/26,MID,1,9,6,4,2
05/15/26,EVE,3,3,8,0,4
05/15/26,MID,8,8,2,8,1
05/14/26,EVE,3,0,7,7,7
05/14/26,MID,5,1,3,0,6
05/13/26,EVE,1,3,8,1,3
05/13/26,MID,5,2,0,7,6
05/12/26,EVE,6,5,8,4,6
05/12/26,MID,5,0,6,4,7
05/11/26,EVE,0,9,5,2,1
05/11/26,MID,8,8,1,0,6
05/10/26,EVE,7,4,6,4,8
05/10/26,MID,1,1,7,8,6
05/09/26,EVE,7,4,0,2,3
05/09/26,MID,4,7,6,1,6
05/08/26,EVE,9,3,0,8,8
05/08/26,MID,0,3,8,8,1
05/07/26,EVE,8,4,4,6,8
05/07/26,MID,9,8,7,7,5
05/06/26,EVE,5,1,9,5,3
05/06/26,MID,7,9,6,8,1
05/05/26,EVE,8,2,6,6,8
05/05/26,MID,5,6,2,4,7
05/04/26,EVE,2,1,0,4,8
05/04/26,MID,8,6,2,1,4
05/03/26,EVE,4,1,2,4,3
05/03/26,MID,7,3,7,3,6
05/02/26,EVE,1,2,2,4,0
05/02/26,MID,0,8,4,3,3
05/01/26,EVE,7,7,4,1,4
05/01/26,MID,5,7,8,3,0
04/30/26,EVE,0,7,7,1,8
04/30/26,MID,5,1,2,8,4
04/29/26,EVE,3,4,1,4,4
04/29/26,MID,8,6,1,9,1
04/28/26,EVE,9,5,0,9,7
04/28/26,MID,5,4,9,8,8
04/27/26,EVE,4,8,3,8,9
04/27/26,MID,9,4,5,3,5
04/26/26,EVE,1,9,0,5,0
04/26/26,MID,1,4,5,7,3
04/25/26,EVE,0,0,1,8,9
04/25/26,MID,7,3,8,5,4
04/24/26,EVE,5,1,1,8,2
04/24/26,MID,2,0,2,2,5
04/23/26,EVE,1,7,0,6,3
04/23/26,MID,5,4,8,7,5
04/22/26,EVE,8,1,4,6,5
04/22/26,MID,9,5,3,9,8
04/21/26,EVE,8,7,8,0,4
04/21/26,MID,7,5,9,6,5
04/20/26,EVE,1,5,5,4,9
04/20/26,MID,0,2,6,1,0
04/19/26,EVE,5,9,7,8,0
04/19/26,MID,4,7,7,9,9
04/18/26,EVE,8,2,0,9,1
04/18/26,MID,3,7,3,6,5
04/17/26,EVE,1,7,8,0,2
04/17/26,MID,5,6,3,4,1
04/16/26,EVE,3,9,1,6,5
04/16/26,MID,1,0,4,0,4
04/15/26,EVE,0,9,5,5,3
04/15/26,MID,0,2,4,7,9
04/14/26,EVE,1,8,7,8,6
04/14/26,MID,6,3,5,0,8
04/13/26,EVE,2,1,3,9,2
04/13/26,MID,2,2,3,2,6
04/12/26,EVE,1,9,8,2,3
04/12/26,MID,3,9,7,6,6
04/11/26,EVE,5,8,2,9,5
04/11/26,MID,6,2,8,5,8
04/10/26,EVE,0,3,4,1,9
04/10/26,MID,8,7,0,5,7
04/09/26,EVE,8,1,8,8,4
04/09/26,MID,0,5,3,3,7
04/08/26,EVE,2,2,4,7,6
04/08/26,MID,3,3,2,2,7
04/07/26,EVE,0,9,2,4,5
04/07/26,MID,5,0,5,6,8
04/06/26,EVE,1,5,7,7,6
04/06/26,MID,8,2,5,8,2
